Stellan,	10	10	11	8	1	-24	1	15	0.133333	1	0	0	2	0	0	0
followmeironik	1	1	2	14	3	-15	1	73	1.47945	29	0.0743802	0.0757069	43	2	8423	13119
happybdayhayley	24	41	48	15	3	-2	32	19	0.210526	1	0	0	2	0	0	0
JonasSunday	3	3	5	11	2	-11	2	84	0.214286	3	0	0	4	0	0	0
lameclaimtofame	7	9	13	15	4	-12	3	30	0.333333	3	0	0	4	0	0	0
novabanda	1	1	3	9	2	-14	1	50	0	0	0	0	1	0	0	0
TeamKanye	2	2	4	9	2	-19	1	64	0.125	1	0	0	2	0	0	0
happybirthdayMikey	189	190	191	18	3	-23	187	87	1.56322	25	0.197292	0.175718	37	0	0	0
nxzerosetechaves	2	2	3	16	4	-15	1	74	0.783784	22	0.0604839	0.0746168	25	0	0	0
buticouldnt	10	10	11	11	3	-18	2	14	0.428571	2	0	0	3	0	0	0
paparazzisucks	2	3	5	14	2	-3	1	91	1.82418	20	0.138535	0.114585	46	2	7011	11864
ifiwasaliberal	2	4	5	14	5	-17	1	53	1.58491	14	0.25	0.113332	23	1	5125	5125
habbo!	6	6	11	6	1	-15	1	59	0.0677966	1	0	0	2	0	0	0
shelookbetter	1	1	2	13	3	-14	1	93	0.0430108	1	0	0	2	0	0	0
ushernext911call	1	1	2	16	4	-10	1	180	1.17778	89	0.00529501	0.0463724	95	4	53268	87436
MussumDay,	22	34	46	10	2	-12	24	15	0.133333	1	0	0	2	0	0	0
acornfacts	2	2	3	10	3	-15	1	45	0.933333	9	0.259259	0.10381	15	1	5585	5585
thingsdarkiessay	3	5	6	16	3	-12	1	9	0.666667	2	0	0	4	0	0	0
HappyBirthdayIvy	13	24	46	16	3	-12	14	37	0.540541	7	0.130435	0.0553411	8	1	5337	5337
jokoanwar	10	10	11	9	2	-6	8	36	0.5	5	0.4	0.116667	6	0	0	0
sept2nd	5	5	6	7	2	-21	3	29	0	0	0	0	1	0	0	0
iwishmyteam	2	2	9	11	4	-6	1	128	0.15625	2	0	0	3	0	0	0
BrazilANDBieber	4	6	7	15	3	-10	3	9	0	0	0	0	1	0	0	0
entitlementisnotsexy	1	1	3	20	4	-23	1	120	2.8	24	0.231651	0.182988	75	0	0	0
crazybabymommas	1	1	2	15	3	-2	1	94	0.148936	3	0	0	4	0	0	0
deefizzy	1	1	2	8	2	-21	1	165	0.0242424	1	0	0	2	0	0	0
GoodDick	5	5	6	8	2	-14	1	18	1.33333	5	0.321429	0.146296	8	1	5662	5662
ADAMISRAD	1	1	2	9	3	-23	1	125	2.624	26	0.246358	0.117488	59	0	0	0
balloonboy,	2	2	5	11	2	-13	1	22	0.0909091	1	0	0	2	0	0	0
CELEBRITYXMASALBUMS	1	1	2	19	3	-3	1	80	0.075	3	0	0	4	1	12774	12774
finna	1	1	2	5	1	-13	1	228	1.75439	188	0.00204464	0.0555581	191	1	570771	570771
HappyBdayAndySkib	6	6	8	17	4	-1	5	15	0.533333	2	0	0	5	0	0	0
backnthedaycartoon	5	5	6	18	5	-13	1	22	0	0	0	0	1	0	0	0
YOUKNOWUINLOVE	8	8	9	14	5	-8	6	26	0.0769231	1	0	0	2	0	0	0
damnlildaddy	1	1	3	12	2	-19	1	101	1.72277	77	0.0111524	0.0911196	79	1	149210	149210
MileysPregnant	1	1	3	14	3	-19	1	124	0.0806452	2	0	0	3	0	0	0
outsidediddysparty	5	5	6	18	3	-3	1	29	0.896552	6	0	0	12	1	6696	6696
youreafreak	2	2	4	11	4	-19	1	29	1.10345	15	0.0280374	0.0692939	16	1	5662	5662
celebrityperfume	2	2	3	16	2	-22	1	34	0.0588235	1	0	0	2	0	0	0
myprblmis	1	1	2	9	3	-5	1	134	0.58209	24	0	0	35	2	38097	44842
CadeMeusFollowers	2	2	4	17	3	-19	1	90	1.55556	50	0.0235849	0.108971	58	2	20558	28306
GoBrasil	1	1	2	8	2	-14	1	100	1.16	44	0.0153531	0.0720529	50	1	20558	20558
